tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	31	0	live	ACACA	ACACD, ACC, ACC1, ACCA, ACACA	acetyl-CoA carboxylase alpha	acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha	17q12	17	NC_000017.11	37084992	37406836	minus	63	200350	
9606	Homo sapiens	34	0	live	ACADM	ACAD1, MCAD, MCADH	acyl-CoA dehydrogenase medium chain	medium-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-4 to C-12 straight chain|acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain|medium-chain acyl-CoA dehydrogenase|testicular tissue protein Li 7	1p31.1	1	NC_000001.11	75724709	75763679	plus	13	607008	
9606	Homo sapiens	38	0	live	ACAT1	ACAT, MAT, T2, THIL	acetyl-CoA acetyltransferase 1	acetyl-CoA acetyltransferase, mitochondrial|acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase|testicular tissue protein Li 198	11q22.3	11	NC_000011.10	108116705	108148822	plus	17	607809	
9606	Homo sapiens	43	0	live	ACHE	ACEE, ARACHE, N-ACHE, YT	acetylcholinesterase (Cartwright blood group)	acetylcholinesterase|Yt blood group|acetylcholinesterase (Yt blood group)|apoptosis-related acetylcholinesterase	7q22.1	7	NC_000007.14	100889994	100896994	minus	8	100740	
9606	Homo sapiens	49	0	live	ACR		acrosin	acrosin|acrosin light and heavy chain prepropeptide|preproacrosin|proacrosin	22q13.33	22	NC_000022.11	50738204	50745339	plus	5	102480	
9606	Homo sapiens	54	0	live	ACP5	HPAP, TRACP5a, TRACP5b, TRAP, TrATPase	acid phosphatase 5, tartrate resistant	tartrate-resistant acid phosphatase type 5|human purple acid phosphatase|tartrate-resistant acid ATPase|tartrate-resistant acid phosphatase 5a|tartrate-resistant acid phosphatase 5b	19p13.2	19	NC_000019.10	11574660	11578983	minus	8	171640	
9606	Homo sapiens	58	0	live	ACTA1	ACTA, ASMA, CFTD, CFTD1, CFTDM, MPFD, NEM1, NEM2, NEM3, SHPM	actin alpha 1, skeletal muscle	actin, alpha skeletal muscle|nemaline myopathy type 3	1q42.13	1	NC_000001.11	229431245	229434094	minus	7	102610	
9606	Homo sapiens	60	0	live	ACTB	BRWS1, PS1TP5BP1	actin beta	actin, cytoplasmic 1|I(2)-actin|PS1TP5-binding protein 1|beta cytoskeletal actin	7p22.1	7	NC_000007.14	5527148	5530601	minus	6	102630	
9606	Homo sapiens	81	0	live	ACTN4	ACTININ-4, FSGS, FSGS1	actinin alpha 4	alpha-actinin-4|focal segmental glomerulosclerosis 1|non-muscle alpha-actinin 4	19q13.2	19	NC_000019.10	38647649	38731589	plus	23	604638	
9606	Homo sapiens	87	0	live	ACTN1	BDPLT15	actinin alpha 1	alpha-actinin-1|F-actin cross-linking protein|actinin 1 smooth muscle|epididymis secretory sperm binding protein|non-muscle alpha-actinin-1	14q22-q24	14	NC_000014.9	68874123	68979302	minus	23	102575	
9606	Homo sapiens	94	0	live	ACVRL1	ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I	activin A receptor like type 1	serine/threonine-protein kinase receptor R3|TGF-B superfamily receptor type I|activin A receptor type II-like 1|activin A receptor type IL|activin A receptor, type II-like kinase 1	12q13.13	12	NC_000012.12	51906913	51923361	plus	11	601284	
9606	Homo sapiens	100	0	live	ADA	ADA1	adenosine deaminase	adenosine deaminase|adenosine aminohydrolase	20q13.12	20	NC_000020.11	44619522	44651699	minus	12	608958	
9606	Homo sapiens	102	0	live	ADAM10	AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz	ADAM metallopeptidase domain 10	disintegrin and metalloproteinase domain-containing protein 10|a disintegrin and metalloprotease domain 10|kuzbanian protein homolog|mammalian disintegrin-metalloprotease	15q21.3	15	NC_000015.10	58588809	58749707	minus	17	602192	
9606	Homo sapiens	103	0	live	ADAR	ADAR1, AGS6, DRADA, DSH, DSRAD, G1P1, IFI-4, IFI4, K88DSRBP, P136	adenosine deaminase RNA specific	double-stranded RNA-specific adenosine deaminase|136 kDa double-stranded RNA-binding protein|adenosine deaminase acting on RNA 1-A|dsRNA adenosine deaminase|dsRNA adeonosine deaminase|interferon-induced protein 4|interferon-inducible protein 4	1q21.3	1	NC_000001.11	154582057	154627997	minus	21	146920	
9606	Homo sapiens	118	0	live	ADD1	ADDA	adducin 1	alpha-adducin|adducin 1 (alpha)|erythrocyte adducin alpha subunit	4p16.3	4	NC_000004.12	2843844	2930065	plus	19	102680	
9606	Homo sapiens	132	0	live	ADK	AK	adenosine kinase	adenosine kinase|adenosine 5'-phosphotransferase|testicular tissue protein Li 14	10q11-q24	10	NC_000010.11	74151185	74709300	plus	16	102750	
9606	Homo sapiens	133	0	live	ADM	AM, PAMP	adrenomedullin	pro-adrenomedullin|preproadrenomedullin|proadrenomedullin N-20 terminal peptide	11p15.4	11	NC_000011.10	10305073	10307397	plus	4	103275	
9606	Homo sapiens	135	0	live	ADORA2A	A2aR, ADORA2, RDC8	adenosine A2a receptor	adenosine receptor A2a|adenosine receptor subtype A2a	22q11.23	22	NC_000022.11	24423597	24442357	plus	6	102776	
9606	Homo sapiens	142	0	live	PARP1	ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PPOL, pADPRT-1	poly(ADP-ribose) polymerase 1	poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|DNA ADP-ribosyltransferase PARP1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1|protein poly-ADP-ribosyltransferase PARP1	1q42.12	1	NC_000001.11	226360691	226408093	minus	23	173870	
9606	Homo sapiens	146	0	live	ADRA1D	ADRA1, ADRA1A, ADRA1R, ALPHA1, DAR, dJ779E11.2	adrenoceptor alpha 1D	alpha-1D adrenergic receptor|adrenergic, alpha -1D-, receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenergic receptor|alpha-1D adrenoceptor|alpha-1D adrenoreceptor|alpha-adrenergic receptor 1a	20p13	20	NC_000020.11	4220630	4249287	minus	2	104219	
9606	Homo sapiens	148	0	live	ADRA1A	ADRA1C, ADRA1L1, ALPHA1AAR	adrenoceptor alpha 1A	alpha-1A adrenergic receptor|G protein coupled receptor|alpha-1A adrenoceptor|alpha-1A adrenoreceptor|alpha-1C adrenergic receptor	8p21.2	8	NC_000008.11	26738113	26870994	minus	11	104221	
9606	Homo sapiens	150	0	live	ADRA2A	ADRA2, ADRA2R, ADRAR, ALPHA2AAR, ZNF32	adrenoceptor alpha 2A	alpha-2A adrenergic receptor|adrenergic, alpha-2A-, receptor|alpha-2 adrenergic receptor subtype C10|alpha-2-adrenergic receptor, platelet type|alpha-2A adrenoceptor|alpha-2A adrenoreceptor|alpha-2AAR subtype C10	10q25.2	10	NC_000010.11	111077029	111080907	plus	1	104210	
9606	Homo sapiens	151	0	live	ADRA2B	ADRA2L1, ADRA2RL1, ADRARL1, ALPHA2BAR, FAME2, alpha-2BAR	adrenoceptor alpha 2B	alpha-2B adrenergic receptor|ADRA2B adrenergic, alpha-2B-, receptor|G-protein coupled receptor|alpha-2 adrenergic receptor subtype C2|alpha-2-adrenergic receptor-like 1|alpha-2B adrenoreceptor	2q11.2	2	NC_000002.12	96112876	96116571	minus	1	104260	
9606	Homo sapiens	152	0	live	ADRA2C	ADRA2L2, ADRA2RL2, ADRARL2, ALPHA2CAR	adrenoceptor alpha 2C	alpha-2C adrenergic receptor|adrenergic, alpha-2C-, receptor|alpha-2 adrenergic receptor subtype C4|alpha-2C adrenoceptor|alpha-2C adrenoreceptor|alpha-2CAR|alpha2-AR-C4	4p16.3	4	NC_000004.12	3766385	3768526	plus	1	104250	
9606	Homo sapiens	154	0	live	ADRB2	ADRB2R, ADRBR, B2AR, BAR, BETA2AR	adrenoceptor beta 2	beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor	5q32	5	NC_000005.10	148826611	148828623	plus	1	109690	
9606	Homo sapiens	161	0	live	AP2A2	ADTAB, CLAPA2, HIP-9, HIP9, HYPJ	adaptor related protein complex 2 subunit alpha 2	AP-2 complex subunit alpha-2|100 kDa coated vesicle protein C|adapter-related protein complex 2 subunit alpha-2|adaptin, alpha B|adaptor related protein complex 2 alpha 2 subunit|alpha-adaptin C; Huntingtin interacting protein J|alpha2-adaptin|clathrin assembly protein complex 2 alpha-C large chain|clathrin-associated/assembly/adaptor protein, large, alpha 2|huntingtin yeast partner J|huntingtin-interacting protein 9|plasma membrane adaptor HA2/AP2 adaptin alpha C subunit	11p15.5	11	NC_000011.10	925850	1012240	plus	24	607242	
9606	Homo sapiens	166	0	live	TLE5	AES, AES-1, AES-2, ESP1, GRG, GRG5, Grg-5	TLE family member 5, transcriptional modulator	TLE family member 5|amino-terminal enhancer of split|gp130-associated protein GAM|groucho-related protein 5	19p13.3	19	NC_000019.10	3052910	3063107	minus	8	600188	
9606	Homo sapiens	173	0	live	AFM	ALB2, ALBA, ALF	afamin	afamin|alpha-Alb|alpha-albumin	4q13.3	4	NC_000004.12	73481745	73504001	plus	15	104145	
9606	Homo sapiens	174	0	live	AFP	AFPD, FETA, HPAFP	alpha fetoprotein	alpha-fetoprotein|alpha-1-fetoprotein|alpha-fetoglobulin	4q13.3	4	NC_000004.12	73436221	73456174	plus	15	104150	
9606	Homo sapiens	175	0	live	AGA	AGU, ASRG, GA	aspartylglucosaminidase	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase|N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase|aspartylglucosylamine deaspartylase|glycosylasparaginase	4q34.3	4	NC_000004.12	177430774	177442469	minus	9	613228	
9606	Homo sapiens	177	0	live	AGER	RAGE, SCARJ1, sRAGE	advanced glycosylation end-product specific receptor	advanced glycosylation end product-specific receptor|receptor for advanced glycation end-products variant 20	6p21.32	6	NC_000006.12	32180969	32184380	minus	11	600214	
9606	Homo sapiens	183	0	live	AGT	ANHU, SERPINA8, hFLT1	angiotensinogen	angiotensinogen|alpha-1 antiproteinase, antitrypsin|angiotensin I|angiotensin II|fetal-liver predominant transporter 1|pre-angiotensinogen|serine (or cysteine) proteinase inhibitor|serpin A8|serpin peptidase inhibitor, clade A, member 8	1q42.2	1	NC_000001.11	230702523	230745583	minus	6	106150	
9606	Homo sapiens	185	0	live	AGTR1	AG2SB, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R, AGTR1	angiotensin II receptor type 1	type-1 angiotensin II receptor|type-1B angiotensin II receptor	3q24	3	NC_000003.12	148697903	148743003	plus	5	106165	
9606	Homo sapiens	186	0	live	AGTR2	AT2, ATGR2, MRX88	angiotensin II receptor type 2	type-2 angiotensin II receptor|angiotensin II type-2 receptor	Xq23	X	NC_000023.11	116170744	116174974	plus	3	300034	
9606	Homo sapiens	196	0	live	AHR	RP85, bHLHe76	aryl hydrocarbon receptor	aryl hydrocarbon receptor|AH-receptor|ah receptor|aromatic hydrocarbon receptor|class E basic helix-loop-helix protein 76	7p21.1	7	NC_000007.14	17298652	17346147	plus	11	600253	
9606	Homo sapiens	197	0	live	AHSG	A2HS, AHS, APMR1, FETUA, HSGA	alpha 2-HS glycoprotein	alpha-2-HS-glycoprotein|alpha-2-Z-globulin|ba-alpha-2-glycoprotein|fetuin-A	3q27.3	3	NC_000003.12	186613060	186621318	plus	7	138680	
9606	Homo sapiens	204	0	live	AK2	ADK2	adenylate kinase 2	adenylate kinase 2, mitochondrial|ATP-AMP transphosphorylase 2|ATP:AMP phosphotransferase|adenylate kinase isoenzyme 2, mitochondrial|adenylate monophosphate kinase|testis secretory sperm-binding protein Li 220n	1p35.1	1	NC_000001.11	33007940	33036883	minus	9	103020	
9606	Homo sapiens	207	0	live	AKT1	AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	AKT serine/threonine kinase 1	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1	14q32.33	14	NC_000014.9	104769349	104795748	minus	15	164730	
9606	Homo sapiens	213	0	live	ALB	FDAHT, HSA, PRO0883, PRO0903, PRO1341	albumin	albumin|serum albumin	4q13.3	4	NC_000004.12	73404287	73421482	plus	15	103600	
9606	Homo sapiens	231	0	live	AKR1B1	ADR, ALDR1, ALR2, AR	aldo-keto reductase family 1 member B	aldo-keto reductase family 1 member B1|Lii5-2 CTCL tumor antigen|aldehyde reductase 1|aldose reductase|low Km aldose reductase	7q33	7	NC_000007.14	134442350	134459239	minus	11	103880	
9606	Homo sapiens	238	0	live	ALK	CD246, NBLST3	ALK receptor tyrosine kinase	ALK tyrosine kinase receptor|CD246 antigen|anaplastic lymphoma receptor tyrosine kinase|mutant anaplastic lymphoma kinase	2p23.2-p23.1	2	NC_000002.12	29190992	29921589	minus	29	105590	
9606	Homo sapiens	239	0	live	ALOX12	12-LOX, 12S-LOX, LOG12	arachidonate 12-lipoxygenase, 12S type	polyunsaturated fatty acid lipoxygenase ALOX12|12S-lipoxygenase|Arachidonate 12-lipoxygenase, 12S-type|arachidonate (12S)-lipoxygenase|arachidonate (15S)-lipoxygenase|arachidonate 15-lipoxygenase,15S-type|linoleate 13S-lipoxygenase|lipoxin synthase 12-LO|platelet 12-LOX|platelet-type 12-lipoxygenase|platelet-type lipoxygenase 12	17p13.1	17	NC_000017.11	6993791	7010754	plus	14	152391	
9606	Homo sapiens	240	0	live	ALOX5	5-LO, 5-LOX, 5LPG, LOG5	arachidonate 5-lipoxygenase	polyunsaturated fatty acid 5-lipoxygenase|LOX-5|arachidonic acid 5-lipoxygenase|leukotriene A4 synthase	10q11.21	10	NC_000010.11	45374209	45446121	plus	13	152390	
9606	Homo sapiens	246	0	live	ALOX15	12-LOX, 15-LOX, 15-LOX-1, LOG15	arachidonate 15-lipoxygenase	polyunsaturated fatty acid lipoxygenase ALOX15|12/15-lipoxygenase|15-LOX type 1|15-lipooxygenase-1|15-lipoxygenase type 1|arachidonate 12-lipoxygenase, leukocyte-type|arachidonate omega-6 lipoxygenase|hepoxilin A3 synthase Alox15|linoleate 13S-lipoxygenase	17p13.2	17	NC_000017.11	4630919	4641678	minus	14	152392	
9606	Homo sapiens	250	0	live	ALPP	ALP, ALPI, IAP, PALP, PLAP, PLAP-1	alkaline phosphatase, placental	alkaline phosphatase, placental type|Intestinal alkaline phosphatase|Intestinal-type alkaline phosphatase|alkaline phosphatase Regan isozyme|alkaline phosphomonoesterase|glycerophosphatase|placental alkaline phosphatase 1	2q37.1	2	NC_000002.12	232378751	232382889	plus	11	171800	
9606	Homo sapiens	259	0	live	AMBP	A1M, EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	alpha-1-microglobulin/bikunin precursor	protein AMBP|bikunin|complex-forming glycoprotein heterogeneous in charge|growth-inhibiting protein 19|inter-alpha-trypsin inhibitor light chain|protein HC|trypstatin|uristatin|uronic-acid-rich protein	9q32	9	NC_000009.12	114060127	114078300	minus	10	176870	
9606	Homo sapiens	268	0	live	AMH	MIF, MIS	anti-Mullerian hormone	muellerian-inhibiting factor|Mullerian inhibiting factor|Mullerian inhibiting substance|anti-Muellerian hormone|muellerian-inhibiting substance	19p13.3	19	NC_000019.10	2249323	2252073	plus	5	600957	
9606	Homo sapiens	270	0	live	AMPD1	MAD, MADA, MMDD	adenosine monophosphate deaminase 1	AMP deaminase 1|AMPD|adenosine monophosphate deaminase 1 (isoform M)|adenosine monophosphate deaminase-1 (muscle)|myoadenylate deaminase|skeletal muscle AMPD	1p13.2	1	NC_000001.11	114673098	114695546	minus	16	102770	
9606	Homo sapiens	274	0	live	BIN1	AMPH2, AMPHL, CNM2, SH3P9	bridging integrator 1	myc box-dependent-interacting protein 1|amphiphysin II|amphiphysin-like protein|box dependant MYC interacting protein 1|box-dependent myc-interacting protein 1	2q14.3	2	NC_000002.12	127048023	127107154	minus	22	601248	
9606	Homo sapiens	276	0	live	AMY1A	AMY1	amylase alpha 1A	alpha-amylase 1A|1,4-alpha-D-glucan glucanohydrolase 1|alpha-amylase 1|amylase alpha 1A (salivary)|amylase, salivary, alpha-1A|glycogenase|salivary alpha-amylase|salivary amylase alpha 1A	1p21.1	1	NC_000001.11	103655519	103664554	plus	12	104700	
9606	Homo sapiens	283	0	live	ANG	ALS9, HEL168, RAA1, RNASE4, RNASE5	angiogenin	angiogenin|RNase 5|angiogenin, ribonuclease, RNase A family, 5|epididymis luminal protein 168|ribonuclease 5|ribonuclease A A1|ribonuclease A family member 5	14q11.2	14	NC_000014.9	20684177	20694186	plus	4	105850	
9606	Homo sapiens	284	0	live	ANGPT1	AGP1, AGPT, ANG1	angiopoietin 1	angiopoietin-1|ANG-1	8q23.1	8	NC_000008.11	107249482	107497918	minus	10	601667	
9606	Homo sapiens	285	0	live	ANGPT2	AGPT2, ANG2	angiopoietin 2	angiopoietin-2|Tie2-ligand|angiopoietin-2B|angiopoietin-2a	8p23.1	8	NC_000008.11	6499632	6563245	minus	9	601922	
9606	Homo sapiens	287	0	live	ANK2	ANK-2, CFAP87, FAP87, LQT4, brank-2	ankyrin 2	ankyrin-2|ankyrin 2, neuronal|ankyrin B|ankyrin, brain|ankyrin-2, nonerythrocytic|non-erythroid ankyrin	4q25-q26	4	NC_000004.12	112705622	113383736	plus	61	106410	
9606	Homo sapiens	290	0	live	ANPEP	APN, CD13, GP150, LAP1, P150, PEPN	alanyl aminopeptidase, membrane	aminopeptidase N|AP-M|AP-N|alanyl (membrane) aminopeptidase|aminopeptidase M|hAPN|membrane alanyl aminopeptidase|microsomal aminopeptidase|myeloid plasma membrane glycoprotein CD13	15q26.1	15	NC_000015.10	89784895	89814852	minus	21	151530	
9606	Homo sapiens	301	0	live	ANXA1	ANX1, LPC1	annexin A1	annexin A1|annexin I (lipocortin I)|annexin-1|calpactin II|calpactin-2|chromobindin-9|epididymis secretory sperm binding protein|phospholipase A2 inhibitory protein	9q21.13	9	NC_000009.12	73151865	73170393	plus	15	151690	
9606	Homo sapiens	308	0	live	ANXA5	ANX5, ENX2, HEL-S-7, PP4, RPRGL3	annexin A5	annexin A5|CBP-I|PAP-I|VAC-alpha|anchorin CII|annexin V|annexin-5|calphobindin I|endonexin II|epididymis secretory protein Li 7|lipocortin V|placental anticoagulant protein 4|placental anticoagulant protein I|thromboplastin inhibitor|vascular anticoagulant-alpha	4q27	4	NC_000004.12	121667946	121696994	minus	14	131230	
9606	Homo sapiens	314	0	live	AOC2	DAO2, RAO, SSAO	amine oxidase copper containing 2	retina-specific copper amine oxidase|amine oxidase, copper containing 2 (retina-specific)|semicarbazide-sensitive amine oxidase	17q21.31	17	NC_000017.11	42844580	42850707	plus	4	602268	
9606	Homo sapiens	324	0	live	APC	BTPS2, DESMD, DP2, DP2.5, DP3, GS, PPP1R46	APC regulator of WNT signaling pathway	adenomatous polyposis coli protein|APC, WNT signaling pathway regulator|WNT signaling pathway regulator|adenomatosis polyposis coli tumor suppressor|adenomatous polyposis coli (APC)|deleted in polyposis 2.5|epididymis secretory sperm binding protein|protein phosphatase 1, regulatory subunit 46|truncated adenomatosis polyposis coli	5q22.2	5	NC_000005.10	112707498	112846239	plus	20	611731	
9606	Homo sapiens	325	0	live	APCS	HEL-S-92n, PTX2, SAP	amyloid P component, serum	serum amyloid P-component|9.5S alpha-1-glycoprotein|epididymis secretory sperm binding protein Li 92n|pentaxin-related|pentraxin-2|pentraxin-related	1q23.2	1	NC_000001.11	159587826	159588865	plus	2	104770	
9606	Homo sapiens	326	0	live	AIRE	AIRE1, APECED, APS1, APSI, PGA1	autoimmune regulator	autoimmune regulator|autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein	21q22.3	21	NC_000021.9	44285876	44298648	plus	14	607358	
9606	Homo sapiens	328	0	live	APEX1	APE, APE1, APEN, APEX, APX, HAP1, REF1	apurinic/apyrimidinic endodeoxyribonuclease 1	DNA-(apurinic or apyrimidinic site) endonuclease|AP endonuclease class I|AP lyase|APEX nuclease (multifunctional DNA repair enzyme) 1|DNA-(apurinic or apyrimidinic site) lyase|apurinic-apyrimidinic endonuclease 1|apurinic/apyrimidinic (abasic) endonuclease|deoxyribonuclease (apurinic or apyrimidinic)|protein REF-1|redox factor-1	14q11.2	14	NC_000014.9	20455226	20457767	plus	5	107748	
9606	Homo sapiens	335	0	live	APOA1	HPALP2, apo(a)	apolipoprotein A1	apolipoprotein A-I|apo-AI|epididymis secretory sperm binding protein	11q23.3	11	NC_000011.10	116835751	116837950	minus	4	107680	
9606	Homo sapiens	338	0	live	APOB	FCHL2, FLDB, LDLCQ4, apoB-100, apoB-48	apolipoprotein B	apolipoprotein B-100|apolipoprotein B (including Ag(x) antigen)|apolipoprotein B48	2p24.1	2	NC_000002.12	21001429	21044073	minus	29	107730	
9606	Homo sapiens	348	0	live	APOE	AD2, APO-E, ApoE4, LDLCQ5, LPG	apolipoprotein E	apolipoprotein E|apolipoprotein E3	19q13.32	19	NC_000019.10	44905796	44909393	plus	6	107741	
9606	Homo sapiens	350	0	live	APOH	B2G1, B2GP1, BG	apolipoprotein H	beta-2-glycoprotein 1|APC inhibitor|B2GPI|activated protein C-binding protein|anticardiolipin cofactor|apo-H|apolipoprotein H (beta-2-glycoprotein I)|beta(2)GPI|epididymis secretory sperm binding protein	17q24.2	17	NC_000017.11	66212033	66229415	minus	8	138700	
9606	Homo sapiens	351	0	live	APP	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4, APP	amyloid beta precursor protein	amyloid-beta precursor protein|alzheimer disease amyloid protein|amyloid beta (A4) precursor protein|amyloid beta A4 protein|amyloid precursor protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|beta-amyloid precursor protein|cerebral vascular amyloid peptide|peptidase nexin-II|protease nexin-II|testicular tissue protein Li 2	21q21.3	21	NC_000021.9	25880550	26171128	minus	20	104760	
9606	Homo sapiens	354	0	live	KLK3	APS, KLK2A1, PSA, hK3	kallikrein related peptidase 3	prostate-specific antigen|P-30 antigen|gamma-seminoprotein|kallikrein-3|semenogelase|seminin	19q13.33	19	NC_000019.10	50854915	50860764	plus	5	176820	
9606	Homo sapiens	355	0	live	FAS	ALPS1A, APO-1, APT1, CD951, FASTM, TNFRSF6, FAS	Fas cell surface death receptor	tumor necrosis factor receptor superfamily member 6|APO-1 cell surface antigen|CD95 antigen|FASLG receptor|Fas (TNF receptor superfamily, member 6)|Fas AMA|TNF receptor superfamily member 6|apoptosis antigen 1|apoptosis signaling receptor FAS|apoptosis-mediating surface antigen FAS|mutant tumor necrosis receptor superfamily member 6|tumor necrosis factor receptor superfamily, member 6	10q23.31	10	NC_000010.11	88968429	89017059	plus	15	134637	
